 1000  5.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
  147  1.4614614614614615E-01  8.3042167583732824E-01  2.4694074325654992E-04  1.3670996389841307E-04  7.0150429741624957E-05  1.6564377549983242E-02
  148  1.4714714714714715E-01  8.5632591196936742E-01  2.3947083518686646E-04  1.3671005422097301E-04  7.0630924908445930E-05  1.6311919131824587E-02
  149  1.4814814814814815E-01  8.8285435167063457E-01  2.3227525762597859E-04  1.3671014798700864E-04  7.1111420739222910E-05  1.6064981157300518E-02
  150  1.4914914914914915E-01  9.1001766743698224E-01  2.2534218322634874E-04  1.3671024530319931E-04  7.1591917259180204E-05  1.5823406826117818E-02
  151  1.5015015015015015E-01  9.3782664064871851E-01  2.1866036912357023E-04  1.3671034627877777E-04  7.2072414494320827E-05  1.5587044803068214E-02
  152  1.5115115115115115E-01  9.6629216194705063E-01  2.1221912441591061E-04  1.3671045102557359E-04  7.2552912471445073E-05  1.5355748992764553E-02
  153  1.5215215215215215E-01  9.9542523160970757E-01  2.0600827965298043E-04  1.3671055965805697E-04  7.3033411218169401E-05  1.5129378325077062E-02
  154  1.5315315315315315E-01  1.0252369599257674E+00  2.0001815819722536E-04  1.3671067229338303E-04  7.3513910762945640E-05  1.4907796550695112E-02
  155  1.5415415415415415E-01  1.0557385675697157E+00  1.9423954933200184E-04  1.3671078905143650E-04  7.3994411135080507E-05  1.4690872046274246E-02
  156  1.5515515515515516E-01  1.0869413859747620E+00  1.8866368299925686E-04  1.3671091005487694E-04  7.4474912364755457E-05  1.4478477628660368E-02
  157  1.5615615615615616E-01  1.1188568577054402E+00  1.8328220605835890E-04  1.3671103542918430E-04  7.4955414483046858E-05  1.4270490377712981E-02
  158  1.5715715715715716E-01  1.1514965368295200E+00  1.7808715996548221E-04  1.3671116530270501E-04  7.5435917521946492E-05  1.4066791467277431E-02
  159  1.5815815815815816E-01  1.1848720892892569E+00  1.7307095978018752E-04  1.3671129980669850E-04  7.5916421514382397E-05  1.3867266003882329E-02
  160  1.5915915915915916E-01  1.2189952932720077E+00  1.6822637441251987E-04  1.3671143907538417E-04  7.6396926494240035E-05  1.3671802872762932E-02
  161  1.6016016016016016E-01  1.2538780395802388E+00  1.6354650803010605E-04  1.3671158324598877E-04  7.6877432496383812E-05  1.3480294590834186E-02
  162  1.6116116116116116E-01  1.2895323320009556E+00  1.5902478255042276E-04  1.3671173245879436E-04  7.7357939556678934E-05  1.3292637166258736E-02
  163  1.6216216216216216E-01  1.3259702876745811E+00  1.5465492114866111E-04  1.3671188685718656E-04  7.7838447712013607E-05  1.3108729964275339E-02
  164  1.6316316316316316E-01  1.3632041374633118E+00  1.5043093271646861E-04  1.3671204658770340E-04  7.8318957000321593E-05  1.2928475578972033E-02
  165  1.6416416416416416E-01  1.4012462263189793E+00  1.4634709721133989E-04  1.3671221180008456E-04  7.8799467460605117E-05  1.2751779710706175E-02
  166  1.6516516516516517E-01  1.4401090136504469E+00  1.4239795184058010E-04  1.3671238264732111E-04  7.9279979132958128E-05  1.2578551048890069E-02
  167  1.6616616616616617E-01  1.4798050736905715E+00  1.3857827802760901E-04  1.3671255928570564E-04  7.9760492058589922E-05  1.2408701159876530E-02
  168  1.6716716716716717E-01  1.5203470958627580E+00  1.3488308911193270E-04  1.3671274187488299E-04  8.0241006279849127E-05  1.2242144379693394E-02
  169  1.6816816816816817E-01  1.5617478851471384E+00  1.3130761873740686E-04  1.3671293057790129E-04  8.0721521840248053E-05  1.2078797711389751E-02
  170  1.6916916916916917E-01  1.6040203624464048E+00  1.2784730988647122E-04  1.3671312556126360E-04  8.1202038784487413E-05  1.1918580726769592E-02
  171  1.7017017017017017E-01  1.6471775649513274E+00  1.2449780452086813E-04  1.3671332699497995E-04  8.1682557158481417E-05  1.1761415472300760E-02
  172  1.7117117117117117E-01  1.6912326465059883E+00  1.2125493379198655E-04  1.3671353505261987E-04  8.2163077009383243E-05  1.1607226378998490E-02
  173  1.7217217217217217E-01  1.7361988779727627E+00  1.1811470878641198E-04  1.3671374991136540E-04  8.2643598385610885E-05  1.1455940176093603E-02
  174  1.7317317317317317E-01  1.7820896475970792E+00  1.1507331177452768E-04  1.3671397175206457E-04  8.3124121336873385E-05  1.1307485808305521E-02
  175  1.7417417417417417E-01  1.8289184613719915E+00  1.1212708793211623E-04  1.3671420075928535E-04  8.3604645914197454E-05  1.1161794356549799E-02
  176  1.7517517517517518E-01  1.8766989434025949E+00  1.0927253750686563E-04  1.3671443712137011E-04  8.4085172169954477E-05  1.1018798961918855E-02
  177  1.7617617617617618E-01  1.9254448362703190E+00  1.0650630840350136E-04  1.3671468103049052E-04  8.4565700157887918E-05  1.0878434752783007E-02
  178  1.7717717717717718E-01  1.9751700013971324E+00  1.0382518916295656E-04  1.3671493268270297E-04  8.5046229933141118E-05  1.0740638774866883E-02
  179  1.7817817817817818E-01  2.0258884194096914E+00  1.0122610231256531E-04  1.3671519227800444E-04  8.5526761552285491E-05  1.0605349924163816E-02
  180  1.7917917917917918E-01  2.0776141905034693E+00  9.8706098065727900E-05  1.3671546002038889E-04  8.6007295073349129E-05  1.0472508882557858E-02
  181  1.8018018018018018E-01  2.1303615348068986E+00  9.6262348350860806E-05  1.3671573611790411E-04  8.6487830555845808E-05  1.0342058056029747E-02
  182  1.8118118118118118E-01  2.1841447927455653E+00  9.3892141150714010E-05  1.3671602078270909E-04  8.6968368060804409E-05  1.0213941515329483E-02
